,Truck Type,State,Fuel Type,Cost
527,hcm_single,WestBengal,Petrol,106.01
528,multiaxle_monthly,AndraPradesh,Diesel,99.11
529,multiaxle_monthly,AndraPradesh,Electric,6.5
530,multiaxle_monthly,AndraPradesh,Petrol,111.22
531,multiaxle_monthly,Manipur,Diesel,89.06
532,multiaxle_monthly,Manipur,Electric,6.0
533,multiaxle_monthly,Manipur,Petrol,97.54
534,multiaxle_monthly,Bihar,Diesel,94.67
535,multiaxle_monthly,Bihar,Electric,6.75
536,multiaxle_monthly,Bihar,Petrol,107.94
537,multiaxle_monthly,Chandigarh,Diesel,84.26
538,multiaxle_monthly,Chandigarh,Electric,5.5
539,multiaxle_monthly,Chandigarh,Petrol,96.2
540,multiaxle_monthly,Chhattisgarh,Diesel,95.59
541,multiaxle_monthly,Chhattisgarh,Electric,5.5
542,multiaxle_monthly,Chhattisgarh,Petrol,102.6
543,multiaxle_monthly,Chattisgarh,Diesel,92.7
544,multiaxle_monthly,Chattisgarh,Electric,6.0
545,multiaxle_monthly,Chattisgarh,Petrol,96.94
546,multiaxle_monthly,Haryana,Diesel,90.05
547,multiaxle_monthly,Haryana,Electric,6.25
548,multiaxle_monthly,Haryana,Petrol,97.2
549,multiaxle_monthly,HimachalPradesh,Diesel,86.3
550,multiaxle_monthly,HimachalPradesh,Electric,4.75
551,multiaxle_monthly,HimachalPradesh,Petrol,97.24
552,multiaxle_monthly,Jammu&Kashmir,Diesel,85.43
553,multiaxle_monthly,Jammu&Kashmir,Electric,7.75
554,multiaxle_monthly,Jammu&Kashmir,Petrol,100.13
555,multiaxle_monthly,Jharkhand,Diesel,94.73
556,multiaxle_monthly,Jharkhand,Electric,6.5
557,multiaxle_monthly,Jharkhand,Petrol,99.92
558,multiaxle_monthly,Karnataka,Diesel,89.03
559,multiaxle_monthly,Karnataka,Electric,7.0
560,multiaxle_monthly,Karnataka,Petrol,102.7
561,multiaxle_monthly,Telangana,Diesel,97.7
562,multiaxle_monthly,Telangana,Electric,5.5
563,multiaxle_monthly,Telangana,Petrol,108.84
564,multiaxle_monthly,MadhyaPradesh,Diesel,94.56
565,multiaxle_monthly,MadhyaPradesh,Electric,6.25
566,multiaxle_monthly,MadhyaPradesh,Petrol,109.36
567,multiaxle_monthly,Maharastra,Diesel,93.45
568,multiaxle_monthly,Maharastra,Electric,7.5
569,multiaxle_monthly,Maharastra,Petrol,106.87
570,multiaxle_monthly,Mizoram,Diesel,82.18
571,multiaxle_monthly,Mizoram,Electric,5.25
